"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 01 23:40:24 GMT 2024","Thu Feb 01 23:40:24 GMT 2024","1","","guru.qa.tests.SimpleJUnitTests","","guru.qa.tests.SimpleJUnitTests","secondTest","secondTest()",""
"broken","Thu Feb 01 23:40:24 GMT 2024","Thu Feb 01 23:40:24 GMT 2024","200","","Заполнение полей в форме TextBox","","guru.qa.tests.ParameterizedTextBoxTests","fillNameAndEmailInTextBoxFormTest","fillNameAndEmailInTextBoxFormTest(String, String) Заполнение полей full name - ""Имя"" и email - ""test@mail.ru"" в форме TextBox",""
"passed","Thu Feb 01 23:40:32 GMT 2024","Thu Feb 01 23:40:33 GMT 2024","670","","Работа с файлами","","guru.qa.tests.WorkWithFilesTests","checkXlsxFileInZip","Чтение и проверка xlsx файла из архива",""
"broken","Thu Feb 01 23:40:22 GMT 2024","Thu Feb 01 23:40:22 GMT 2024","199","","guru.qa.tests.GithubEnterprisePageTests","","guru.qa.tests.GithubEnterprisePageTests","githubEnterprisePageTest","githubEnterprisePageTest()",""
"broken","Thu Feb 01 23:40:23 GMT 2024","Thu Feb 01 23:40:23 GMT 2024","202","","Заполнение полей в форме TextBox","","guru.qa.tests.ParameterizedTextBoxTests","fillEmailInTextBoxFormTest","fillEmailInTextBoxFormTest(String) Заполнение поля email значением ""test@mail.ru"" в форме TextBox",""
"broken","Thu Feb 01 23:40:24 GMT 2024","Thu Feb 01 23:40:24 GMT 2024","198","","Заполнение полей в форме TextBox","","guru.qa.tests.ParameterizedTextBoxTests","fillNameAndEmailInTextBoxFormTest","fillNameAndEmailInTextBoxFormTest(String, String) Заполнение полей full name - ""Полное имя"" и email - ""test@gmail.com"" в форме TextBox",""
"broken","Thu Feb 01 23:40:21 GMT 2024","Thu Feb 01 23:40:22 GMT 2024","205","","guru.qa.tests.GitHubIssueTests","","guru.qa.tests.GitHubIssueTests","testLambdaStep","testLambdaStep()",""
"broken","Thu Feb 01 23:40:31 GMT 2024","Thu Feb 01 23:40:31 GMT 2024","214","","guru.qa.tests.StudentRegistrationFormTests","","guru.qa.tests.StudentRegistrationFormTests","studentRegistrationFormTest","studentRegistrationFormTest()",""
"broken","Thu Feb 01 23:40:24 GMT 2024","Thu Feb 01 23:40:31 GMT 2024","6676","","guru.qa.tests.StudentRegistrationFormTests","","guru.qa.tests.StudentRegistrationFormTests","minimumFieldsStudentRegistrationFormTest","minimumFieldsStudentRegistrationFormTest()",""
"broken","Thu Feb 01 23:40:23 GMT 2024","Thu Feb 01 23:40:23 GMT 2024","222","","Заполнение полей в форме TextBox","","guru.qa.tests.ParameterizedTextBoxTests","fillAllFieldsInTextBoxFormTest","fillAllFieldsInTextBoxFormTest(String, String, String, int) Заполнение полей данными: ""Полное имя"", ""test@gmail.com"", ""Paris, Croissant st, 24/2"", ""25451"" в форме TextBox",""
